,point,cell,grid,lat,lon,zscore(2021-6),zscore(2021-7),smad(2021-6),smad(2021-7)
1939,4984323,1359,Fibonacci (6.25 km),49.23315048217773,8.96682357788086,0.956378270436134,0.8858930292128159,0.6195451222875068,0.4178938256866743
1940,4984412,1395,Fibonacci (6.25 km),49.23432922363281,10.775822639465332,1.3168826038116523,2.140569461392454,0.8114991928426053,1.5238620591333107
1941,4984467,1359,Fibonacci (6.25 km),49.23505783081055,7.848799705505371,1.0193215223613896,0.6293401879451324,1.3786119995511041,0.41966383445341043
1942,4984501,1395,Fibonacci (6.25 km),49.23550796508789,12.58482265472412,0.2626636364731091,1.5415625859015178,0.22320057611209318,1.0261966291003597
1943,4984556,1359,Fibonacci (6.25 km),49.23623275756836,9.65779972076416,0.15680403498188974,0.959905319883588,0.1634287334278615,0.4860284582855638
1944,4984611,1359,Fibonacci (6.25 km),49.236961364746094,6.730776786804199,-0.7120513681059918,1.3054516519234927,-0.27754216459062697,0.8962627163534724
1945,4984645,1395,Fibonacci (6.25 km),49.23741149902344,11.466798782348633,2.5318351830088104,1.9493095206876723,2.903786358138527,1.0915335351444722
1946,4984700,1359,Fibonacci (6.25 km),49.23814010620117,8.539775848388672,0.8898078182913697,0.9785679415078297,0.8856619451462905,0.6314430179260517
1947,4984789,1395,Fibonacci (6.25 km),49.23931884765625,10.34877586364746,1.5248617333811858,1.7150432664406592,1.154969531900019,0.9039920448487974
1948,4984844,1359,Fibonacci (6.25 km),49.24004364013672,7.4217529296875,0.5142438667568087,1.3997085827839313,1.06471799793719,0.8213677422225396
1949,4984878,1395,Fibonacci (6.25 km),49.24049377441406,12.157774925231934,1.4666049657676117,1.2298433084512095,1.2524958424609303,0.9948364743485473
1950,4984933,1359,Fibonacci (6.25 km),49.2412223815918,9.230752944946287,0.12486976208329902,0.865197912361268,0.14213655106845227,0.33701848878349855
1951,4985022,1395,Fibonacci (6.25 km),49.24240112304688,11.039752006530762,1.4651683868072753,1.7495191179912621,1.4281249599773318,1.2143109299346546
1952,4985077,1359,Fibonacci (6.25 km),49.24312973022461,8.1127290725708,1.1161768540605685,1.44495916319304,1.1230506266305762,1.070647156082262
1953,4985111,1395,Fibonacci (6.25 km),49.24357986450195,12.84875202178955,0.5245997314685797,1.621098775625985,0.6780139597272161,0.9980212101217522
1954,4985166,1359,Fibonacci (6.25 km),49.24430465698242,9.92172908782959,0.27530189812220646,1.1021133757959138,0.3616023171212771,0.4649234408410234
1955,4985221,1359,Fibonacci (6.25 km),49.24503326416016,6.994706153869629,1.2257320197768777,1.5854334160721852,1.3716772448986099,2.2923821105507676
1956,4985255,1395,Fibonacci (6.25 km),49.2454833984375,11.730728149414062,1.6124856619684764,1.692328250582521,1.2268058194382827,1.1050438755211303
1957,4985310,1359,Fibonacci (6.25 km),49.246212005615234,8.803706169128418,1.1083724126756753,0.9402191725465217,0.7561588582640275,0.5411686309696616
1958,4985399,1395,Fibonacci (6.25 km),49.24739074707031,10.61270523071289,1.3184523510731245,1.9980835411066176,0.9988162788076561,1.1525370524255973
1959,4985454,1359,Fibonacci (6.25 km),49.24811935424805,7.685682773590088,1.0021084866168781,1.0843929440025022,2.600264475680112,0.7018694430762368
1960,4985488,1395,Fibonacci (6.25 km),49.24856948852539,12.42170524597168,1.033710088935676,1.577382744760517,0.8137343095482616,1.3110856109354025
